,IdJuego,platforms
356,15320,windows
357,15370,windows
358,15380,windows
359,15390,windows
360,15400,windows;mac;linux
361,15500,windows
362,15520,windows
363,15560,windows;mac;linux
364,15620,windows;mac;linux
365,15700,windows
366,15710,windows
367,15740,windows
368,15750,windows
369,15800,windows
370,15900,windows
371,15910,windows
372,15920,windows
373,15930,windows
374,15960,windows
375,15970,windows;mac
376,16000,windows
377,16020,windows
378,16030,windows
379,16040,windows
380,16060,windows
381,16100,windows
382,16110,windows
383,16120,windows
384,16130,windows
385,16180,windows
386,16200,windows
387,16450,windows
388,16500,windows
389,16600,windows
390,16620,windows;mac
391,16710,windows
392,16720,windows;mac
393,16730,windows
394,16810,windows;mac
395,16900,windows
396,17080,windows
397,17100,windows
398,17120,windows
399,17140,windows
400,17180,windows
401,17300,windows
402,17330,windows
403,17390,windows
404,17410,windows
405,17430,windows
406,17440,windows
407,17450,windows
408,17460,windows
409,17470,windows
410,17480,windows
411,17500,windows;linux
412,17570,windows;mac;linux
413,17710,windows;mac;linux
414,17740,windows;linux
415,18000,windows
416,18020,windows
417,18040,windows;mac
418,18050,windows;mac
419,18070,windows;mac
420,18120,windows;mac
421,18300,windows;mac;linux
422,18400,windows
423,18420,windows
424,18470,windows
425,18480,windows
426,18500,windows
427,18600,windows
428,18700,windows;mac;linux
429,18820,windows
430,19000,windows
431,19020,windows
432,19030,windows
433,19080,windows
434,19200,windows
435,19320,windows
436,19500,windows
437,19800,windows
438,19830,windows
439,19900,windows
440,19980,windows
441,20200,windows
442,20510,windows
443,20530,windows
444,20540,windows
445,20550,windows
446,20570,windows;mac;linux
447,20700,windows
448,20710,windows
449,20820,windows;mac;linux
450,20900,windows;mac
451,20920,windows;mac;linux
452,21000,windows
453,21010,windows
454,21030,windows
455,21090,windows
456,21100,windows
457,21130,windows
458,21300,windows
459,21400,windows
460,21500,windows
461,21640,windows
462,21660,windows
463,21670,windows
464,21680,windows
465,21690,windows
466,21780,windows
467,21800,windows
468,21980,windows
469,22000,windows;mac;linux
470,22100,windows
471,22120,windows;mac;linux
472,22130,windows
473,22180,windows;mac;linux
474,22200,windows
475,22230,windows
476,22300,windows
477,22310,windows
478,22320,windows
479,22330,windows
480,22350,windows
481,22370,windows
482,22380,windows
483,22450,windows
484,22500,windows
485,22600,windows;mac;linux
486,22610,windows
487,22650,windows
488,22670,windows
489,23150,windows
490,23300,windows
491,23380,windows
492,23400,windows
493,23420,windows
494,23450,windows
495,23460,windows
496,23490,windows
497,23500,windows
498,23530,windows
499,23600,windows;mac;linux
500,23700,windows
501,24010,windows
502,24200,windows
503,24240,windows
504,24400,windows
505,24410,windows
506,24420,windows;linux
507,24460,windows
508,24480,windows
509,24640,windows
510,24650,windows
511,24670,windows
512,24720,windows
513,24740,windows
514,24780,windows;mac
515,24790,windows
516,24800,windows
517,24810,windows
518,24840,windows
519,24870,windows
520,24960,windows
521,24980,windows
522,25000,windows;mac;linux
523,25010,windows;mac;linux
524,25500,windows
525,25600,windows;mac;linux
526,25620,windows;mac;linux
527,25700,windows;mac
528,25800,windows;mac
529,25830,windows
530,25850,windows
531,25890,windows;mac
532,25900,windows;mac
533,25910,windows
534,25930,windows
535,25980,windows
536,25990,windows
537,26000,windows
538,26300,windows
539,26800,windows;mac;linux
540,26900,windows;mac
541,27000,windows;mac
542,27020,windows;mac;linux
543,27050,windows;mac
544,27200,windows
545,27330,windows
546,27400,windows;mac
547,27600,windows
548,27800,windows
549,27810,windows
550,27900,windows
551,27920,windows
552,27940,windows
553,28000,windows
554,29120,windows
555,29130,windows
556,29160,windows;mac;linux
557,29180,windows;mac;linux
558,29800,windows;mac
559,29900,windows
560,31270,windows;mac
561,31300,windows
562,31800,windows
563,31810,windows
564,31820,windows
565,31830,windows
566,31840,windows
567,31850,windows
568,31860,windows
569,31870,windows
570,31880,windows
571,31890,windows
572,31900,windows
573,31910,windows
574,31920,windows
575,31930,windows
576,31980,windows
577,32000,windows
578,32110,windows;mac
579,32120,windows
580,32140,windows
581,32150,windows
582,32160,windows
583,32200,windows
584,32310,windows;mac
585,32330,windows
586,32340,windows;mac
587,32350,windows
588,32360,windows
589,32370,windows;mac
590,32380,windows
591,32390,windows
592,32400,windows;mac
593,32410,windows
594,32420,windows
595,32430,windows;mac
596,32440,windows;mac
597,32450,windows
598,32460,windows
599,32470,windows
600,32500,windows
601,32510,windows
602,32610,windows
603,32620,windows
604,32630,windows
605,32640,windows
606,32650,windows
607,32660,windows
608,32670,windows
609,32680,windows
610,32710,windows
611,32720,windows
612,32730,windows
613,32740,windows
614,32750,windows
615,32760,windows
616,32770,windows
617,32900,windows
618,33100,windows
619,33110,windows
620,33120,windows
621,33130,windows
622,33180,windows
623,33230,windows
624,33320,windows
625,33390,windows
626,33460,windows
627,33520,windows
628,33570,windows
629,33600,windows;mac;linux
630,33610,windows
631,33620,windows
632,33650,windows
633,33660,windows
634,33670,windows
635,33680,windows;mac;linux
636,33760,windows
637,33770,windows
638,33790,windows;mac
639,33900,windows
640,33930,windows
641,33950,windows
642,33980,windows
643,33990,windows
644,34010,windows
