,IdJuego,categories
121,4000,Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled;Includes level editor
122,4100,Single-player
123,4230,Single-player;Multi-player
124,4290,Single-player;Multi-player
125,4300,Single-player;Partial Controller Support;Includes level editor
126,4420,Single-player
127,4460,Single-player
128,4470,Single-player;Multi-player
129,4500,Single-player;Multi-player
130,4520,Single-player;Multi-player;Co-op
131,4530,Single-player;Multi-player;Co-op
132,4560,Single-player;Multi-player;Steam Trading Cards;Steam Workshop;Steam Cloud
133,4570,Single-player;Multi-player;Steam Trading Cards;Steam Cloud
134,4580,Single-player;Multi-player;Steam Cloud
135,4700,Single-player;Multi-player;Steam Trading Cards
136,4720,Single-player
137,4760,Single-player;Multi-player;Steam Trading Cards
138,4770,Single-player;Multi-player
139,4780,Single-player;Multi-player
140,4800,Single-player;Multi-player
141,4850,Single-player;Multi-player
142,4870,Single-player
143,4880,Single-player
144,4890,Single-player;Multi-player;Online Multi-Player;Local Multi-Player
145,4900,Single-player
146,4920,Multi-player;Online Multi-Player;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled;Includes level editor
147,6000,Single-player;Multi-player;Local Multi-Player;Steam Cloud
148,6010,Single-player;Steam Cloud
149,6020,Single-player;Online Multi-Player;Local Multi-Player;Partial Controller Support;Steam Cloud
150,6030,Single-player;Online Multi-Player;Local Multi-Player;Partial Controller Support;Steam Cloud
151,6040,Single-player;Steam Cloud
152,6060,Single-player;Multi-player;Online Multi-Player;Partial Controller Support;Steam Cloud
153,6080,Single-player;Local Multi-Player;Co-op;Local Co-op;Shared/Split Screen;Partial Controller Support;Steam Cloud
154,6090,Single-player;Steam Cloud
155,6120,Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Cloud
156,6200,Single-player
157,6210,Single-player
158,6220,Single-player;Multi-player
159,6250,Single-player;Multi-player
160,6270,Single-player;Multi-player
161,6300,Single-player
162,6310,Single-player
163,6370,Single-player;Multi-player;MMO
164,6400,Single-player;Multi-player;Co-op;Shared/Split Screen
165,6420,Single-player;Multi-player;Includes level editor
166,6510,Single-player;Multi-player;Partial Controller Support;Valve Anti-Cheat enabled
167,6550,Single-player;Partial Controller Support
168,6800,Single-player;Multi-player;Co-op
