,IdJuego,steamspy_tags
167,6550,Action;Hack and Slash;Great Soundtrack
168,6800,Strategy;Stealth;Action
169,6810,Action;Strategy;Tactical
170,6830,Strategy;Tactical;Stealth
171,6840,Strategy;Action;Tactical
172,6850,Stealth;Action;Third Person
173,6860,Stealth;Action;Third Person
174,6870,Action;World War II;Naval
175,6880,Action;Open World;Shooter
176,6900,Stealth;Action;Classic
177,6910,Cyberpunk;RPG;Stealth
178,6920,Cyberpunk;Action;FPS
179,6980,Stealth;Atmospheric;Action
180,7000,Adventure;Action;Female Protagonist
181,7010,Action;FPS;Cyberpunk
182,7020,Action;Third-Person Shooter;Sci-fi
183,7110,RPG;Fantasy;Story Rich
184,7200,Racing;Multiplayer;Level Editor
185,7210,Adventure;Point & Click;Mystery
186,7220,Adventure;Point & Click;Mystery
187,7260,RPG;Hack and Slash;Action
188,7340,Casual;Indie;Puzzle
189,7510,Action;Hack and Slash;Female Protagonist
190,7520,RPG;Open World;Fantasy
191,7530,Strategy;Tower Defense;Fantasy
192,7600,Strategy;Trains;Management
193,7610,Strategy;Management;Trains
194,7620,Strategy;Management;Trains
195,7650,Strategy;Turn-Based;Sci-fi
196,7660,Strategy;Turn-Based;Tactical
197,7730,Strategy;Sci-fi;Space
198,7760,Strategy;Classic;Turn-Based Strategy
199,7770,Strategy;Action;Shooter
200,7830,Strategy;World War II;RTS
201,7840,Racing;Action;Shooter
202,7860,Action;FPS;World War I
203,7940,FPS;Action;Multiplayer
204,8000,Action;Adventure;Female Protagonist
205,8080,Action;Third-Person Shooter;Crime
206,8100,Action;FPS;Singleplayer
207,8140,Adventure;Action;Female Protagonist
208,8170,World War II;Strategy;Action
209,8190,Open World;Action;Sandbox
210,8310,Adventure;Point & Click
211,8320,Adventure;Point & Click
212,8330,Casual;Card Game
213,8340,Adventure;Point & Click;Comedy
214,8400,Arcade;Twin Stick Shooter;Casual
215,8500,Space;Massively Multiplayer;Sci-fi
216,8600,Racing;Simulation;Driving
217,8790,Racing;Simulation;Sports
218,8800,Strategy;Turn-Based Strategy;4X
219,8870,FPS;Story Rich;Action
220,8880,RPG;Strategy;Superhero
221,8890,RPG;Strategy;Superhero
222,8930,Turn-Based Strategy;Strategy;Turn-Based
223,8970,Indie;Point & Click
224,9000,Action;FPS;Classic
225,9010,FPS;Action;Classic
226,9030,Action;FPS;Shooter
227,9040,Action;FPS;Shooter
228,9050,Horror;FPS;Action
229,9060,Action;FPS;Classic
230,9160,Action;FPS;Classic
231,9180,Platformer;Classic;Action
232,9200,FPS;Post-apocalyptic;Action
233,9310,Strategy;Warhammer 40K;RTS
234,9340,Strategy;RTS;Action
235,9350,Strategy;RTS;Sci-fi
236,9420,Strategy;RTS;Sci-fi
237,9450,Warhammer 40K;Strategy;RTS
238,9460,Action;FPS;Shooter
239,9480,Open World;Action;Character Customization
240,9500,Indie;Platformer;Physics
241,9710,Action;Western;Strategy
242,9760,Action;Strategy;RTS
243,9800,Stealth;Action;Adventure
244,9850,Strategy;Simulation;RTS
245,9880,Free to Play;Superhero;Massively Multiplayer
246,9900,Free to Play;Sci-fi;Space
247,9940,Anime;Platformer;Female Protagonist
248,9960,Adventure
249,9970,Action;Space
250,9980,Casual;Puzzle;Relaxing
251,10090,Zombies;World War II;FPS
252,10100,Adventure;Point & Click;Classic
253,10110,Adventure;Point & Click;Classic
254,10120,Action;Casual;Space
255,10130,Action;FPS;Time Manipulation
256,10140,Sports;Mini Golf;Golf
257,10150,Action;Open World;Adventure
258,10180,Action;FPS;Multiplayer
259,10220,Action;Dark Humor;Gore
260,10230,Adventure;Point & Click
261,10240,Adventure;Point & Click
262,10250,Simulation;Naval
263,10260,Simulation;Naval
264,10270,RPG;Turn-Based Strategy;Strategy
265,10460,Action;Third-Person Shooter;Arcade
266,10500,Strategy;Historical;Military
267,10680,Action;FPS;Aliens
268,11020,Racing;Free to Play;Multiplayer
