,nombre,categoria,direccion_completa,barrio,comuna
0,GUANTANAMERA,RESTAURANTE,"MOREAU DE JUSTO, ALICIA AV. 2092",Puerto Madero,Comuna 1
1,1843 VINACOTECA,VINERIA,HUMBERTO 1º 1843,San Cristobal,Comuna 3
2,2080 EXPRESS,RESTAURANTE,JURAMENTO AV. 2080,Belgrano,Comuna 13
3,22,CAFE,MURGUIONDO 4188,Villa Lugano,Comuna 8
4,4 EN 2 I,RESTAURANTE,"BORGES, JORGE LUIS 2095",Palermo,Comuna 14
5,4 X 4 CAFE,BAR,DEL LIBERTADOR AV. 3838,Palermo,Comuna 14
6,5TA AVENIDA,RESTAURANTE,SARMIENTO 814,San Nicolas,Comuna 1
7,5TA AVENIDA I,RESTAURANTE,SARMIENTO 381,San Nicolas,Comuna 1
8,5TA ZONA,,MURILLO 1049,Villa Crespo,Comuna 15
9,650,RESTAURANTE,SAN MARTIN 650,San Nicolas,Comuna 1
10,788 FOODBAR,RESTAURANTE,ARENALES 1877,Recoleta,Comuna 2
11,7 SEVEN,RESTAURANTE,GORRITI 5802,Palermo,Comuna 14
12,8 MILIMETROS,RESTAURANTE,GORRITI 5535,Palermo,Comuna 14
13,9 DE JULIO,RESTAURANTE,"PELLEGRINI, CARLOS 593",San Nicolas,Comuna 1
14,9 DE JULIO II,CAFE,RIESTRA AV. 5498,Villa Lugano,Comuna 8
15,ABC,RESTAURANTE,LAVALLE 545,San Nicolas,Comuna 1
16,ABRIL,RESTAURANTE,ARENALES 900,Retiro,Comuna 1
17,ABRIL BRISTO,RESTAURANTE,BALCARCE 722,San Telmo,Comuna 1
18,ABUELO MATIAS,RESTAURANTE,SAN PEDRITO 1094,Flores,Comuna 7
19,ACABAR,BAR,HONDURAS 5733,Palermo,Comuna 14
20,ACAPULCO,RESTAURANTE,LAVALLE 757,San Nicolas,Comuna 1
21,ACAPULCO,CAFE,MORENO 1800,Monserrat,Comuna 1
22,ACCADEMIA della pizza,RESTAURANTE,TRIUNVIRATO AV. 4495,Villa Urquiza,Comuna 12
23,A CORUÃƒâ€˜A,VINERIA,MISIONES 125,Balvanera,Comuna 3
24,ACQUANOVA,,"DIAZ, CNEL. AV. 1879",Recoleta,Comuna 2
25,ACROPOLIS,CAFE,CORDOBA AV. 3493,Recoleta,Comuna 2
26,ACUARIO,RESTAURANTE,VARELA AV. 920,Flores,Comuna 7
27,ADANN,RESTAURANTE,"HERNANDEZ, JOSE 2345",Belgrano,Comuna 13
28,AFICHE,CAFE,"ALVEAR, MARCELO T. De 2119",Recoleta,Comuna 2
29,A FUEGO LENTO,RESTAURANTE,SANTO TOME 5915,Versalles,Comuna 10
30,AGARRATE CATALINA,RESTAURANTE,CABOTO 537,Boca,Comuna 4
31,AGRAZ,RESTAURANTE,POSADAS 1232,Retiro,Comuna 1
32,AIRES DE PATAGONIA,RESTAURANTE,"MOREAU DE JUSTO, ALICIA AV. 1798",Puerto Madero,Comuna 1
33,A. J. JARDIN CERVERCERO,RESTAURANTE,CHILE AV. 342,San Telmo,Comuna 1
34,ALA...,RESTAURANTE,BELGRANO AV. 1836,Balvanera,Comuna 3
35,ALABAMA,RESTAURANTE,RIVADAVIA AV. 3102,Balvanera,Comuna 3
36,ALABAMA,RESTAURANTE,SANTA FE AV. 5270,Palermo,Comuna 14
37,ALAI,CAFE,"ALSINA, ADOLFO 1702",Monserrat,Comuna 1
38,A LA MAROSKA,RESTAURANTE,"ALVEAR, MARCELO T. De 2251",Recoleta,Comuna 2
39,ALAMEDA,RESTAURANTE,DE MAYO AV. 1203,Monserrat,Comuna 1
40,ALAMEDA,RESTAURANTE,LAS HERAS GENERAL AV. 2324,Recoleta,Comuna 2
41,AL ANDALUZ,BAR,GODOY CRUZ 1823,Palermo,Comuna 14
42,ALARICO,RESTAURANTE,CHILE 518,San Telmo,Comuna 1
43,AL BAR,BAR,SAN JUAN AV. 915,Constitucion,Comuna 1
44,ALBERNIZ,CAFE,RIVADAVIA AV. 2886,Balvanera,Comuna 3
45,ALBOR,BAR,"CALVO, CARLOS 819",Constitucion,Comuna 1
46,AL CLUB,RESTAURANTE,PARAGUAY 2044,Recoleta,Comuna 2
47,ALDEA DE ALBARICOQUE,RESTAURANTE,LAMBARE 847,Almagro,Comuna 5
48,ALEA,CAFE,TALCAHUANO 888,Retiro,Comuna 1
49,ALE- ALE,,ESTADO DE ISRAEL AV. 4503,Villa Crespo,Comuna 15
50,ALEKS,CAFE,CORDOBA AV. 1541,Recoleta,Comuna 2
51,ALEXANDER,RESTAURANTE,TUCUMAN 304,San Nicolas,Comuna 1
52,ALFONSO 1RO,RESTAURANTE,PARAGUAY 3948,Palermo,Comuna 14
53,ALFRED,RESTAURANTE,PUEYRREDON AV. 1335,Recoleta,Comuna 2
54,AL FRESCO,RESTAURANTE,HONDURAS 5201,Palermo,Comuna 14
55,ALGO NATURAL,RESTAURANTE,VIAMONTE 351,San Nicolas,Comuna 1
56,ALHAMBRA,RESTAURANTE,RIVADAVIA AV. 8628,Velez Sarsfield,Comuna 10
57,ALHARACA,RESTAURANTE,GORRITI 5045,Palermo,Comuna 14
58,ALIMENTAR,RESTAURANTE,SAN MARTIN 570,San Nicolas,Comuna 1
59,ALIMENTARI,RESTAURANTE,LAVALLE 1120,San Nicolas,Comuna 1
60,ALIMENTOS,RESTAURANTE,SARMIENTO 372,San Nicolas,Comuna 1
61,ALL VERDI,RESTAURANTE,OLIDEN 1493,Mataderos,Comuna 9
62,ALMACEN NATURISTA,RESTAURANTE,"MANSILLA, LUCIO NORBERTO, GENERAL 2740",Recoleta,Comuna 2
63,ALMONTE,RESTAURANTE,BONPLAND 1939,Palermo,Comuna 14
64,ALO - ALO,RESTAURANTE,RIVADAVIA AV. 4945,Caballito,Comuna 6
65,ALPINA SKATE,PUB,RIVADAVIA AV. 6431,Flores,Comuna 7
66,AL SHARK,RESTAURANTE,"SCALABRINI ORTIZ, RAUL AV. 1426",Palermo,Comuna 14
67,ALSINA 300,RESTAURANTE,"ALSINA, ADOLFO 300",Monserrat,Comuna 1
68,AL TAGLIO PIZZORANTE,RESTAURANTE,ARAOZ 2476,Palermo,Comuna 14
69,ALTO GOYENO,RESTAURANTE,"GOYENA, PEDRO AV. 599",Caballito,Comuna 6
70,ALVEAR PARK,RESTAURANTE,"ALBERDI, JUAN BAUTISTA AV. 4302",Parque Avellaneda,Comuna 9
71,AMADEUS,PUB,RIVADAVIA AV. 7472,Flores,Comuna 7
72,AMAKAI,CAFE,INDEPENDENCIA AV. 3001,Balvanera,Comuna 3
73,AMARETTO,RESTAURANTE,CHORROARIN AV. 1206,Villa Ortuzar,Comuna 15
74,AMBAR BUENOS AIRES,PUB,"BEIRO, FRANCISCO AV. 3124",Villa Del Parque,Comuna 11
75,AMERICA,RESTAURANTE,HIDALGO 899,Caballito,Comuna 6
76,AMERICA DELI,CAFE,PERU 85,Monserrat,Comuna 1
77,AMERICANO,BAR,BELGRANO AV. 1421,Monserrat,Comuna 1
78,AMICO,CAFE,CHILE 1110,Monserrat,Comuna 1
79,AMIGOS,BAR,"PERON, JUAN DOMINGO, TTE. GENERAL 1417",San Nicolas,Comuna 1
80,AMIGOS PROPIETARIOS,RESTAURANTE,AYACUCHO 2183,Recoleta,Comuna 2
81,AMIKO,RESTAURANTE,LIMA 700,Monserrat,Comuna 1
82,ANAHI,BAR,"ALEM, LEANDRO N. AV. 481",San Nicolas,Comuna 1
83,AÃƒâ€˜ARO CERO,CAFE,"ALSINA, ADOLFO 1494",Monserrat,Comuna 1
84,ANCHORENA PLAZA,RESTAURANTE,SANTA FE AV. 2702,Recoleta,Comuna 2
85,ANDEN,RESTAURANTE,SANTA FE AV. 5302,Palermo,Comuna 14
86,ANGECINA,RESTAURANTE,REPUBLICA DOMINICANA 3386,Palermo,Comuna 14
87,ANGELIN,RESTAURANTE,CORDOBA AV. 5770,Chacarita,Comuna 15
88,ANGELINA,RESTAURANTE,CHARCAS 3386,Palermo,Comuna 14
89,ANGELO'S,CAFE,SANTA FE AV. 2779,Recoleta,Comuna 2
90,ANGELUS,RESTAURANTE,DEL LIBERTADOR AV. 7598,NuÃƒÂ±ez,Comuna 13
91,ANGLO,CAFE,RIVADAVIA AV. 7510,Flores,Comuna 7
92,ANGOSTURA,RESTAURANTE,LAVALLE 400,San Nicolas,Comuna 1
93,ANIMATE,CAFE,RIVADAVIA AV. 7390,Flores,Comuna 7
94,ANITA,RESTAURANTE,"NEWBERY, JORGE AV. 3902",Chacarita,Comuna 15
95,ANKER,RESTAURANTE,VIAMONTE 1602,San Nicolas,Comuna 1
96,ANTAÃƒâ€˜O BAR,BAR,VUELTA DE OBLIGADO 1101,Palermo,Comuna 14
97,ANTE SALA,BAR,COSTA RICA 4969,Palermo,Comuna 14
98,ANUSH,BAR,ARMENIA 1242,Palermo,Comuna 14
99,APETECE,RESTAURANTE,"PELLEGRINI, CARLOS 169",San Nicolas,Comuna 1
100,APLAUSOS,RESTAURANTE,BELGRANO AV. 3251,Balvanera,Comuna 3
101,ARABIAN FOOD,RESTAURANTE,LAVALLE 796,San Nicolas,Comuna 1
102,ARACA BUENOS AIRES,RESTAURANTE,AYACUCHO 408,Balvanera,Comuna 3
103,ARCANGEL,RESTAURANTE,VIAMONTE 702,San Nicolas,Comuna 1
104,ARENALES 999,BAR,ARENALES 999,Retiro,Comuna 1
105,AREVALO AL FONDO,RESTAURANTE,AREVALO 3056,Palermo,Comuna 14
106,ARGOT CAFE,PUB,ALVAREZ JONTE AV. 2744,Villa Santa Rita,Comuna 11
107,ARGUIBEL,RESTAURANTE,"ARGUIBEL, ANDRES 2826",Palermo,Comuna 14
108,ARI- CA,RESTAURANTE,COSQUIN 25,Liniers,Comuna 9
109,ARI- CA II,RESTAURANTE,RIVADAVIA AV. 11156,Liniers,Comuna 9
110,ARMENIA RETAURANT,RESTAURANTE,ARMENIA 1366,Palermo,Comuna 14
111,ARMY CAFE,RESTAURANTE,RIVADAVIA AV. 5000,Caballito,Comuna 6
112,AROMA,RESTAURANTE,FLORIDA 428,San Nicolas,Comuna 1
113,AROMA AMBIENTAL,BAR,SANTA FE AV. 1260,Retiro,Comuna 1
114,AROMA EXPRESS,RESTAURANTE,PI Y MARGALL 775,Boca,Comuna 4
115,AROMI,RESTAURANTE,CORRIENTES AV. 4690,Almagro,Comuna 5
116,AROMI,BAR,RIVADAVIA AV. 6701,Flores,Comuna 7
117,ARRIGO,CAFE,LA PLATA AV. 479,Caballito,Comuna 6
118,ARSENO,RESTAURANTE,ISABEL LA CATOLICA 1094,Barracas,Comuna 4
119,ARTE CAFE,RESTAURANTE,SAN JUAN AV. 480,San Telmo,Comuna 1
120,ARTE DE MAFIA,RESTAURANTE,EL SALVADOR 4975,Palermo,Comuna 14
121,ARTESANIA DEL SABOR,RESTAURANTE,SALTA 622,Monserrat,Comuna 1
122,ARTON,RESTAURANTE,CORRIENTES AV. 4606,Almagro,Comuna 5
123,ARTUR,RESTAURANTE,BELGRANO AV. 1119,Monserrat,Comuna 1
124,ASIA DE CUBA,RESTAURANTE,"DEALESSI, PIERINA 750",Puerto Madero,Comuna 1
125,ASI DE SIMPLE,CAFE,"GARAY, JUAN DE AV. 615",San Telmo,Comuna 1
126,A SOLAS,CONFITERIA,"GALLO, DELFIN 5748",Villa Lugano,Comuna 8
127,ASTOR PIAZZOLA,RESTAURANTE,FLORIDA 165,San Nicolas,Comuna 1
128,ASTRAL,RESTAURANTE,RODRIGUEZ PEÃƒâ€˜A 687,San Nicolas,Comuna 1
129,ASTRO BAR,RESTAURANTE,MEDRANO AV. 950,Almagro,Comuna 5
130,ASTURIAS,RESTAURANTE,DE LOS CONSTITUYENTES AV. 4598,Villa Pueyrredon,Comuna 12
131,A TEMPO,RESTAURANTE,ECHEVERRIA 2900,Belgrano,Comuna 13
132,ATENEA,RESTAURANTE,RIVADAVIA AV. 2300,Balvanera,Comuna 3
133,ATLANTICO,RESTAURANTE,GASCON 392,Almagro,Comuna 5
134,AU BEC FIN,RESTAURANTE,"LOPEZ, VICENTE 1877",Recoleta,Comuna 2
135,AUGUSTO,RESTAURANTE,"BROWN, ALTE. AV. 888",Boca,Comuna 4
136,AVANTY,RESTAURANTE,AYACUCHO 117,Balvanera,Comuna 3
137,AVE CAESAR,CAFE,FLORIDA 787,San Nicolas,Comuna 1
138,AVE FENIX,CAFE,"JUSTO, JUAN B. AV. 4242",Caballito,Comuna 6
139,AVENIDAS,CAFE,PASEO COLON AV. 1197,San Telmo,Comuna 1
140,AVI BAR,CAFE,SARMIENTO 1819,Balvanera,Comuna 3
141,AZAFRAN,RESTAURANTE,HONDURAS 5143,Palermo,Comuna 14
142,AZAPAR,RESTAURANTE,BELGRANO AV. 350,Monserrat,Comuna 1
143,AZUL ESPUMANTE,RESTAURANTE,GUATEMALA 4665,Palermo,Comuna 14
144,AZUL PROFUNDO,RESTAURANTE,DEL LIBERTADOR AV. 310,Retiro,Comuna 1
145,AZURRA,RESTAURANTE,MANSO JUANA 2,Puerto Madero,Comuna 1
146,AZURRO,RESTAURANTE,SANTA FE AV. 3596,Palermo,Comuna 14
147,BA,RESTAURANTE,"VEGA, NICETO, Cnel. AV. 5702",Palermo,Comuna 14
148,BABETTE,RESTAURANTE,LAS HERAS GENERAL AV. 2972,Recoleta,Comuna 2
149,BABIECA,RESTAURANTE,SANTA FE AV. 1898,Recoleta,Comuna 2
150,BABY BA,BAR,AREVALO 1466,Palermo,Comuna 14
151,BACARO,RESTAURANTE,LAVALLE 1368,San Nicolas,Comuna 1
152,BACHERO PIZZERIA CENTRO,RESTAURANTE,CORRIENTES AV. 1300,San Nicolas,Comuna 1
153,BACHET - BACHET,BAR,EL SALVADOR 4960,Palermo,Comuna 14
154,BACIO DA LUPO,RESTAURANTE,EL SALVADOR 5600,Palermo,Comuna 14
155,BACO,RESTAURANTE,URUGUAY 855,Retiro,Comuna 1
156,BAGDAD CAFE,RESTAURANTE,VIAMONTE 820,San Nicolas,Comuna 1
157,BAHIA,CONFITERIA,"GALLO, DELFIN 5792",Villa Lugano,Comuna 8
158,BAHIA,RESTAURANTE,SAENZ AV. 1455,Nueva Pompeya,Comuna 4
159,BAHIA MADERO,RESTAURANTE,"MOREAU DE JUSTO, ALICIA AV. 430",Puerto Madero,Comuna 1
160,BAJO ALEM,BAR,"ALEM, LEANDRO N. AV. 750",San Nicolas,Comuna 1
161,BAJO BELGRANO,RESTAURANTE,CONGRESO 2011,NuÃƒÂ±ez,Comuna 13
162,BAKANO,RESTAURANTE,CERVIÃƒâ€˜O AV. 3496,Palermo,Comuna 14
163,BAKERY HOUSE,RESTAURANTE,CABILDO AV. 428,Colegiales,Comuna 13
164,BALBANERA,CAFE,"ALSINA, ADOLFO 3001",Balvanera,Comuna 3
165,BALDOMERO,BAR,TUCUMAN 681,San Nicolas,Comuna 1
166,BALEARES,RESTAURANTE,VEDIA 2002,NuÃƒÂ±ez,Comuna 13
167,BAMBO,CAFE,RIVADAVIA AV. 5647,Caballito,Comuna 6
168,BAMBU,RESTAURANTE,CORDOBA AV. 1415,Recoleta,Comuna 2
169,BANAURA BAR,RESTAURANTE,SOLER 4202,Palermo,Comuna 14
170,BANCHERO,CAFE,RIVADAVIA AV. 5401,Caballito,Comuna 6
171,BANCHERO,RESTAURANTE,SUAREZ 396,Boca,Comuna 4
172,BANCHERO OESTE,RESTAURANTE,RIVADAVIA AV. 5401,Caballito,Comuna 6
173,BANDE,RESTAURANTE,"ALSINA, ADOLFO 3119",Balvanera,Comuna 3
174,BAR,BAR,HONDURAS 5699,Palermo,Comuna 14
175,BAR 2001,CAFE,LAVALLE 2001,Balvanera,Comuna 3
176,BAR 6,BAR,ARMENIA 1676,Palermo,Comuna 14
177,BAR 9 DE JULIO,CAFE,"BALBIN, RICARDO, DR. AV. 4999",Saavedra,Comuna 12
178,BAR ABIERTO,BAR,"BORGES, JORGE LUIS 1613",Palermo,Comuna 14
179,BAR ACONCAGUA,RESTAURANTE,ESTADOS UNIDOS 502,San Telmo,Comuna 1
180,BARAJAS,CAFE,RIVADAVIA AV. 3499,Almagro,Comuna 5
181,BAR ALEMAN,PUB,SAN MARTIN AV. 5992,Villa Devoto,Comuna 11
182,BAR AMERICANO,CAFE,RIVADAVIA AV. 2598,Balvanera,Comuna 3
183,BAR AMERICANO,RESTAURANTE,CORRIENTES AV. 427,San Nicolas,Comuna 1
184,BAR AMERICANO LA BOLSA,RESTAURANTE,SARMIENTO 301,San Nicolas,Comuna 1
185,BAR ARTE,RESTAURANTE,DEL LIBERTADOR AV. 6445,Belgrano,Comuna 13
186,BAR ASTURIANO,BAR,REPUBLICA BOLIVARIANA DE VENEZUELA 1699,Monserrat,Comuna 1
187,BAR ASTURIAS,CONFITERIA,PASTEUR 555,Balvanera,Comuna 3
188,BAR AVENIDA,RESTAURANTE,"PERON, EVA AV. 4300",Parque Avellaneda,Comuna 9
189,BARBACOA,RESTAURANTE,BOLLINI 2133,Recoleta,Comuna 2
190,BARBARO,BAR,ARAOZ 2974,Palermo,Comuna 14
191,BAR BERLA,BAR,DON PEDRO DE MENDOZA AV. 1459,Boca,Comuna 4
192,BAR BIBON DE LAS LUCES,BAR,PERU 269,Monserrat,Comuna 1
193,BAR BOSTON,RESTAURANTE,RIOBAMBA 438,Balvanera,Comuna 3
194,BAR BRITANICO,RESTAURANTE,BRASIL AV. 399,San Telmo,Comuna 1
195,BAR BUSTAMANTE,CAFE,SANCHEZ DE BUSTAMANTE 1382,Recoleta,Comuna 2
196,BAR CANDY,CAFE,LARREA 486,Balvanera,Comuna 3
197,BAR CARLITOS,CAFE,"ROCA, JULIO A., PRESIDENTE AV. 737",Monserrat,Comuna 1
198,BARCELONA,RESTAURANTE,"URIBURU JOSE E., Pres. 278",Balvanera,Comuna 3
199,BAR CHARLY,RESTAURANTE,ELCANO AV. 4005,Villa Ortuzar,Comuna 15
200,BAR & CO,RESTAURANTE,ENTRE RIOS AV. 1322,Constitucion,Comuna 1
201,BAR CONDE,RESTAURANTE,"LACROZE, FEDERICO AV. 3193",Colegiales,Comuna 13
202,BAR CORDOBA,CAFE,CORDOBA AV. 2799,Recoleta,Comuna 2
203,BAR DE BOCA,RESTAURANTE,SARMIENTO 667,San Nicolas,Comuna 1
204,BAR DEL REGISTRO,,JUJUY AV. 478,Balvanera,Comuna 3
205,BAR DE VINOS,VINERIA,HUMBOLDT 1847,Palermo,Comuna 14
206,BAR DINO,BAR,AZCUENAGA 1277,Recoleta,Comuna 2
207,BAR DON,RESTAURANTE,"CALVO, CARLOS 1402",Constitucion,Comuna 1
208,BAR EL MOLINO,RESTAURANTE,24 DE NOVIEMBRE 2287,Parque Patricios,Comuna 4
209,BAR ESPAÃƒâ€˜OL,RESTAURANTE,BELGRANO AV. 3001,Balvanera,Comuna 3
210,BAR FLY,VINERIA,DEL LIBERTADOR AV. 3883,Palermo,Comuna 14
211,BAR GARDEL,RESTAURANTE,TUCUMAN 3002,Balvanera,Comuna 3
212,BAR GUANABARA,RESTAURANTE,SARMIENTO 1232,San Nicolas,Comuna 1
213,BAR HISPANO ARGENTINO,RESTAURANTE,LUZURIAGA 301,Barracas,Comuna 4
214,BAR HYDE PARK,RESTAURANTE,MAIPU 572,San Nicolas,Comuna 1
215,BAR IBERIA,RESTAURANTE,TUCUMAN 1648,San Nicolas,Comuna 1
216,BARILOCHE,RESTAURANTE,SARMIENTO 2485,Balvanera,Comuna 3
217,BARIMSH,PUB,RIVADAVIA AV. 1928,Balvanera,Comuna 3
218,BAR J O C,,THAMES 200,Villa Crespo,Comuna 15
219,BAR K-FE,CAFE,CASTEX 3390,Palermo,Comuna 14
220,BAR LA ESCUELA,RESTAURANTE,"PEDRAZA, MANUELA 2803",NuÃƒÂ±ez,Comuna 13
221,BAR LAPRIDA,BAR,CHARCAS 2900,Recoleta,Comuna 2
222,BAR LA ROBLA,RESTAURANTE,VIAMONTE 1615,San Nicolas,Comuna 1
223,BAR LAS VEGAS,RESTAURANTE,"PERON, EVA AV. 5900",Villa Lugano,Comuna 8
224,BAR LEGALES,CAFE,"ALEM, LEANDRO N. AV. 1028",Retiro,Comuna 1
225,BAR LOS ANGELES,RESTAURANTE,SANCHEZ DE BUSTAMANTE 1626,Recoleta,Comuna 2
226,BAR LOS BILLARES DE MATADEROS,RESTAURANTE,DE LOS CORRALES AV. 7300,Mataderos,Comuna 9
227,BARLOVENTO SHOW,RESTAURANTE,DE LOS CONSTITUYENTES AV. 5301,Villa Urquiza,Comuna 12
228,BAR MAYO,CAFE,CHILE 1300,Monserrat,Comuna 1
229,BAR MEMOS,BAR,"PELLEGRINI, CARLOS 645",San Nicolas,Comuna 1
230,BAR MICHI,RESTAURANTE,BRASIL 1302,Constitucion,Comuna 1
231,BAR MITRE,BAR,"MITRE, BARTOLOME 730",San Nicolas,Comuna 1
232,BAR MUNICIPAL,RESTAURANTE,AVELLANEDA 550,Caballito,Comuna 6
233,BAROLO BISTRO,RESTAURANTE,BONPLAND 1621,Palermo,Comuna 14
234,BAR ORIENTE,RESTAURANTE,ALVAREZ THOMAS AV. 1800,Villa Ortuzar,Comuna 15
235,BAR ORQUIDEA,RESTAURANTE,CORRIENTES AV. 4101,Almagro,Comuna 5
236,BAR OVIEDO,BAR,"DE LA TORRE, LISANDRO AV. 2407",Mataderos,Comuna 9
237,BAR OVIEDO,CAFE,"BEIRO, FRANCISCO AV. 5701",Villa Real,Comuna 10
238,BAR PALACIO,RESTAURANTE,"LACROZE, FEDERICO AV. 3901",Chacarita,Comuna 15
239,BAR PATRICE,CAFE,CHARCAS 4402,Palermo,Comuna 14
240,BARRA BONITA,RESTAURANTE,"MANSILLA, LUCIO NORBERTO, GENERAL 3499",Palermo,Comuna 14
241,BARRA LA TASCA,BAR,TUCUMAN 238,San Nicolas,Comuna 1
242,BAR RAMOS,BAR,CORRIENTES AV. 1604,San Nicolas,Comuna 1
243,BAR RHIN,RESTAURANTE,SEGUROLA AV. 11,Floresta,Comuna 10
244,BARRIENTOS,RESTAURANTE,LARREA 1541,Recoleta,Comuna 2
245,BAR ROMA,BAR,SAN LUIS 3101,Balvanera,Comuna 3
246,BAR SAAVEDRA,CAFE,"BALBIN, RICARDO, DR. AV. 4008",Saavedra,Comuna 12
247,BAR SAN JOSE,BAR,"PERON, JUAN DOMINGO, TTE. GENERAL 2311",Balvanera,Comuna 3
248,BAR SIN NOMBRE,BAR,PERU 259,Monserrat,Comuna 1
249,BAR SRL,BAR,"ALEM, LEANDRO N. AV. 292",San Nicolas,Comuna 1
250,BAR SUAREZ,BAR,LAVALLE 803,San Nicolas,Comuna 1
251,BAR SUR,,ESTADOS UNIDOS 299,San Telmo,Comuna 1
252,B'ART,RESTAURANTE,"BORGES, JORGE LUIS 2180",Palermo,Comuna 14
253,BARTHO,PUB,RIOBAMBA 26,Balvanera,Comuna 3
254,BAR TIENDA LA BUSQUEDA,BAR,SAN MARTIN 657,San Nicolas,Comuna 1
255,BARTOK,RESTAURANTE,COSTA RICA 4600,Palermo,Comuna 14
256,BARTOLO,CAFE,LIMA 1749,Constitucion,Comuna 1
257,BARTOLO,BAR,"MITRE, BARTOLOME 321",San Nicolas,Comuna 1
258,BARTOLOMEO,PUB,"MITRE, BARTOLOME 1521",San Nicolas,Comuna 1
259,BAR TUCUMAN,BAR,TUCUMAN 3140,Balvanera,Comuna 3
260,BAR TUCUMAN,CAFE,TUCUMAN 877,San Nicolas,Comuna 1
261,BAR UNO,CAFE,SUIPACHA 757,San Nicolas,Comuna 1
262,BAR URIARTE,RESTAURANTE,URIARTE 1572,Palermo,Comuna 14
263,BAR URQUIZA,BAR,"URQUIZA, Gral. 786",Balvanera,Comuna 3
264,BAR VILAS,RESTAURANTE,SANTA FE AV. 3219,Palermo,Comuna 14
265,BAR VITO'S,BAR,SANTA FE AV. 3219,Palermo,Comuna 14
266,BAR YASE,CAFE,NAZCA AV. 575,Flores,Comuna 7
267,BAS BUENOS AIRES,RESTAURANTE,"COSSETTINI, OLGA 260",Puerto Madero,Comuna 1
268,BASE CAFE,PUB,"SAENZ PEÃƒâ€˜A, LUIS, PRES. 99",Monserrat,Comuna 1
269,BAVIERA,RESTAURANTE,CIUDAD DE LA PAZ 2095,Belgrano,Comuna 13
270,BAY BEN BAR NUEVO CAFE,BAR,LAVALLE 1564,San Nicolas,Comuna 1
271,BAY GENESIS,CAFE,CORRIENTES AV. 1900,Balvanera,Comuna 3
272,BAYONA,BAR,TUCUMAN 839,San Nicolas,Comuna 1
273,B & B,RESTAURANTE,BULNES 2215,Palermo,Comuna 14
274,BELGRANO,CAFE,BELGRANO AV. 3009,Balvanera,Comuna 3
275,BELGRANO 901,BAR,BELGRANO AV. 901,Monserrat,Comuna 1
276,BELLAGAMBA,RESTAURANTE,RIVADAVIA AV. 2138,Balvanera,Comuna 3
277,BELLA ITALIA,RESTAURANTE,CUBA 1935,Belgrano,Comuna 13
278,BELLA ROMA,RESTAURANTE,"YRURTIA, ROGELIO 6024",Saavedra,Comuna 12
279,BELLISIMO,RESTAURANTE,MEXICO 802,Monserrat,Comuna 1
280,BENE BENE,,AMENABAR 616,Colegiales,Comuna 13
281,BENGAL,CAFE,ARENALES 837,Retiro,Comuna 1
282,BENITA,RESTAURANTE,"ANCHORENA, TOMAS MANUEL DE, DR. 1716",Recoleta,Comuna 2
283,BERALDI,BAR,CHARCAS 4191,Palermo,Comuna 14
284,BERCY,RESTAURANTE,PUEYRREDON AV. 1585,Recoleta,Comuna 2
285,BEREBER,BAR,ARMENIA 1880,Palermo,Comuna 14
286,BESARES BUENO,RESTAURANTE,11 DE SEPTIEMBRE DE 1888 4098,NuÃƒÂ±ez,Comuna 13
287,BETA,RESTAURANTE,TUCUMAN 2409,Balvanera,Comuna 3
288,BICE,RESTAURANTE,"MOREAU DE JUSTO, ALICIA AV. 192",Puerto Madero,Comuna 1
289,BIDOU DE LA MERCED,RESTAURANTE,"PERON, JUAN DOMINGO, TTE. GENERAL 462",San Nicolas,Comuna 1
290,BIDOU DE LAS LUCES,RESTAURANTE,PERU 269,Monserrat,Comuna 1
291,BIDOU DE LAVALLE,RESTAURANTE,LAVALLE 302,San Nicolas,Comuna 1
292,BIG BEN,RESTAURANTE,CERRITO 814,Retiro,Comuna 1
293,BIG GARDEN,RESTAURANTE,SANTA FE AV. 1113,Retiro,Comuna 1
294,BIG MAMMA,RESTAURANTE,"MATIENZO, BENJAMIN, TENIENTE 1599",Palermo,Comuna 14
295,BIG MAMMA,RESTAURANTE,CABELLO 3760,Palermo,Comuna 14
296,BIG MAMMA,RESTAURANTE,RECONQUISTA 1080,Retiro,Comuna 1
297,BILL PLAZA,CAFE,"ALVAREZ, DONATO, Tte. Gral. 900",Flores,Comuna 7
298,BILLY LOMITO,RESTAURANTE,FLORIDA 787,San Nicolas,Comuna 1
299,BIO,RESTAURANTE,HUMBOLDT 2199,Palermo,Comuna 14
300,BIRD,RESTAURANTE,URUGUAY 886,Recoleta,Comuna 2
301,BISCIUT,RESTAURANTE,PARAGUAY 2027,Recoleta,Comuna 2
302,BISCOCH,RESTAURANTE,CALLAO AV. 856,Recoleta,Comuna 2
303,BISTRO SUR,RESTAURANTE,SALOTTI MARTHA 445,Puerto Madero,Comuna 1
304,BLA- BLA,RESTAURANTE,"JUSTO, JUAN B. AV. 6301",Villa Santa Rita,Comuna 11
305,BLOSSOM,RESTAURANTE,TUCUMAN 516,San Nicolas,Comuna 1
306,BLUE BROWN,RESTAURANTE,JUNIN 1350,Recoleta,Comuna 2
307,BO-BO,RESTAURANTE,GUATEMALA 4882,Palermo,Comuna 14
308,BOCADO DULCE Y SALADO,CAFE,SARMIENTO 2212,Balvanera,Comuna 3
