,nombre,categoria,direccion_completa,barrio,comuna
1869,MC DONALD'S,RESTAURANTE,"GIUFFRA, JOSE M.,DR. 242",San Telmo,Comuna 1
1870,MC DONALD'S,CAFE,SANTA FE AV. 2468,Recoleta,Comuna 2
1871,MC DONALD'S,CAFE,SANTA FE AV. 1430,Recoleta,Comuna 2
1872,MC DONALD'S,CAFE,SANTA FE AV. 1765,Recoleta,Comuna 2
1873,MC DONALD'S,CAFE,SANTA FE AV. 1950,Recoleta,Comuna 2
1874,MC DONALD'S,CAFE,"LOPEZ, VICENTE 2008",Recoleta,Comuna 2
1875,MC DONALD'S,RESTAURANTE,CORRIENTES AV. 980,San Nicolas,Comuna 1
1876,MC DONALD'S,RESTAURANTE,CALLAO AV. 131,San Nicolas,Comuna 1
1877,MC DONALD'S,RESTAURANTE,FLORIDA 500,San Nicolas,Comuna 1
1878,MC DONALD'S,RESTAURANTE,RIVADAVIA AV. 3865,Almagro,Comuna 5
1879,MC DONALD'S,RESTAURANTE,CORDOBA AV. 3821,Palermo,Comuna 14
1880,MC DONALD'S,RESTAURANTE,RIVADAVIA AV. 6620,Flores,Comuna 7
1881,MC DONALD'S,CONFITERIA,"URIBURU JOSE E., Pres. 3",Balvanera,Comuna 3
1882,MC DONALD'S,RESTAURANTE,CORRIENTES AV. 2558,Balvanera,Comuna 3
1883,MC DONALD'S,RESTAURANTE,CORRIENTES AV. 3247,Balvanera,Comuna 3
1884,MC DONALD'S,RESTAURANTE,CORDOBA AV. 2039,Recoleta,Comuna 2
1885,MC DONALD'S,RESTAURANTE,CORRIENTES AV. 2558,Balvanera,Comuna 3
1886,MC DONALD'S,RESTAURANTE,CORRIENTES AV. 3247,Balvanera,Comuna 3
1887,MC DONALD'S,RESTAURANTE,CORDOBA AV. 2039,Recoleta,Comuna 2
1888,MC DONALD'S,RESTAURANTE,RIVADAVIA AV. 3145,Balvanera,Comuna 3
1889,MC DONALD'S,RESTAURANTE,PUEYRREDON AV. 230,Balvanera,Comuna 3
1890,MC DONALD'S,BAR,SANTA FE AV. 4280,Palermo,Comuna 14
1891,MC DONALD'S,BAR,SANTA FE AV. 4601,Palermo,Comuna 14
1892,MC DONALD'S,BAR,SANTA FE AV. 4280,Palermo,Comuna 14
1893,MC DONALD'S,BAR,"SCALABRINI ORTIZ, RAUL 3149",Palermo,Comuna 14
1894,MC DONALD'S,BAR,"SCALABRINI ORTIZ, RAUL AV. 2034",Palermo,Comuna 14
1895,MC DONALD'S,BAR,CABILDO AV. 742,Colegiales,Comuna 13
1896,MC DONALD'S,BAR,"SALGUERO, JERONIMO 3172",Palermo,Comuna 14
1897,MC DONALD'S,RESTAURANTE,CABILDO AV. 2254,Belgrano,Comuna 13
1898,MC DONALD'S,RESTAURANTE,CABILDO AV. 2523,Belgrano,Comuna 13
1899,MC DONALD'S,RESTAURANTE,DEL LIBERTADOR AV. 6068,Belgrano,Comuna 13
1900,MC DONALD'S,BAR,"CAMPOS, LUIS M. AV. 900",Palermo,Comuna 14
1901,MC NOR,BAR,JUNCAL 3599,Palermo,Comuna 14
1902,MEDITERRANEO,RESTAURANTE,SAN LUIS 2902,Balvanera,Comuna 3
1903,MEET,RESTAURANTE,SAN MARTIN AV. 6301,Villa Devoto,Comuna 11
1904,MEET,RESTAURANTE,SAN MARTIN AV. 6300,Villa Devoto,Comuna 11
